workload,level,W,rep,T_async,T_sync_pred,T_sync_meas,ratio_pred,ratio_meas,note
hetero,1.0,48,4,27.9851864224535,4.535521872641505,4.09734001589745,6.170224112744675,6.830086425308259,E[max48]=10.58s ovh 4.2ms
hetero,1.5,48,0,18.27470835404,1.2627869704674302,1.5090594643661182,14.471727046150532,12.109998834085912,E[max48]=38.01s ovh 3.8ms
hetero,1.5,48,1,17.596465957336328,1.257986350862014,1.0568633372412988,13.98780356025218,16.649707996558853,E[max48]=38.16s ovh 3.8ms
hetero,1.5,48,2,15.888846254181207,1.2748373289182875,0.8465400080451766,12.463430348139442,18.76916164998699,E[max48]=37.65s ovh 3.8ms
hetero,1.5,48,3,16.69724038867819,1.2581162892509605,1.213395546366817,13.271619270281569,13.760756283203392,E[max48]=38.15s ovh 3.8ms
hetero,1.5,48,4,18.275960267334508,1.2650400166443112,0.8703456188135976,14.446942410417932,20.998508951245356,E[max48]=37.94s ovh 4.0ms
hetero,2.0,48,0,10.808826812137385,0.32666795934146126,0.3649198944957889,33.08811440805884,29.619724698956134,E[max48]=146.94s ovh 3.7ms
hetero,2.0,48,1,11.238436260360873,0.32494853584092226,0.3127543587822908,34.58528050073326,35.93374782726523,E[max48]=147.72s ovh 3.6ms
hetero,2.0,48,2,11.42167487419185,0.32306927793155926,0.3697674229036263,35.35363977447425,30.88880784711183,E[max48]=148.57s ovh 3.7ms
hetero,2.0,48,3,11.623445474696492,0.3195844084785515,0.4969149528703631,36.370502334680026,23.39121696289316,E[max48]=150.20s ovh 3.6ms
hetero,2.0,48,4,11.774321212855012,0.32489854656280187,0.9509318905800296,36.23999349156544,12.381876482944701,E[max48]=147.74s ovh 3.7ms
cpm50,48.0,48,0,9.246814938544128,7.237281220962609,1.698810004498847,1.2776641747402258,1.177403047857329,async in-run durations + overhead; measured = utilisation ratio
cpm50,48.0,48,1,9.254340475867616,7.174559737294239,2.065722172907168,1.2898826986919385,1.1856991044572989,async in-run durations + overhead; measured = utilisation ratio
cpm50,48.0,48,2,9.331768904253265,7.781923665172778,4.874452591698247,1.1991596558594713,1.1771788594581325,async in-run durations + overhead; measured = utilisation ratio
cpm50,48.0,48,3,9.396213222895854,7.480988568213568,5.9851467988899705,1.256012241860655,1.176913405834253,async in-run durations + overhead; measured = utilisation ratio
cpm50,48.0,48,4,9.429777605214298,7.960837203266999,5.916558086446932,1.18452084428312,1.2083802506448662,async in-run durations + overhead; measured = utilisation ratio
