benchmark,method,replicate,wall_time,n_records,w1,ess,ess_fraction
gaussian_mean,rejection_abc,3,300.0,100,0.006186527468647657,100.0,1.0
gaussian_mean,rejection_abc,4,37.5,100,0.011150965620102857,100.0,1.0
gaussian_mean,rejection_abc,4,75.0,100,0.011150965620102857,100.0,1.0
gaussian_mean,rejection_abc,4,112.5,100,0.011150965620102857,100.0,1.0
gaussian_mean,rejection_abc,4,150.0,100,0.011150965620102857,100.0,1.0
gaussian_mean,rejection_abc,4,187.5,100,0.011150965620102857,100.0,1.0
gaussian_mean,rejection_abc,4,225.0,100,0.011150965620102857,100.0,1.0
gaussian_mean,rejection_abc,4,262.5,100,0.011150965620102857,100.0,1.0
gaussian_mean,rejection_abc,4,300.0,100,0.011150965620102857,100.0,1.0
gandk,rejection_abc,0,75.0,100,0.485471671119099,100.0,1.0
gandk,rejection_abc,0,150.0,100,0.485471671119099,100.0,1.0
gandk,rejection_abc,0,225.0,100,0.485471671119099,100.0,1.0
gandk,rejection_abc,0,300.0,100,0.485471671119099,100.0,1.0
gandk,rejection_abc,0,375.0,100,0.485471671119099,100.0,1.0
gandk,rejection_abc,0,450.0,100,0.485471671119099,100.0,1.0
gandk,rejection_abc,0,525.0,100,0.485471671119099,100.0,1.0
gandk,rejection_abc,0,600.0,100,0.485471671119099,100.0,1.0
gandk,rejection_abc,1,75.0,100,0.4130258969830027,100.0,1.0
gandk,rejection_abc,1,150.0,100,0.4130258969830027,100.0,1.0
gandk,rejection_abc,1,225.0,100,0.4130258969830027,100.0,1.0
gandk,rejection_abc,1,300.0,100,0.4130258969830027,100.0,1.0
gandk,rejection_abc,1,375.0,100,0.4130258969830027,100.0,1.0
gandk,rejection_abc,1,450.0,100,0.4130258969830027,100.0,1.0
gandk,rejection_abc,1,525.0,100,0.4130258969830027,100.0,1.0
gandk,rejection_abc,1,600.0,100,0.4130258969830027,100.0,1.0
gandk,rejection_abc,2,75.0,100,0.4535437416929583,100.0,1.0
gandk,rejection_abc,2,150.0,100,0.4535437416929583,100.0,1.0
gandk,rejection_abc,2,225.0,100,0.4535437416929583,100.0,1.0
gandk,rejection_abc,2,300.0,100,0.4535437416929583,100.0,1.0
gandk,rejection_abc,2,375.0,100,0.4535437416929583,100.0,1.0
gandk,rejection_abc,2,450.0,100,0.4535437416929583,100.0,1.0
gandk,rejection_abc,2,525.0,100,0.4535437416929583,100.0,1.0
gandk,rejection_abc,2,600.0,100,0.4535437416929583,100.0,1.0
gandk,rejection_abc,3,75.0,100,0.5274800585647199,100.0,1.0
gandk,rejection_abc,3,150.0,100,0.5274800585647199,100.0,1.0
gandk,rejection_abc,3,225.0,100,0.5274800585647199,100.0,1.0
gandk,rejection_abc,3,300.0,100,0.5274800585647199,100.0,1.0
gandk,rejection_abc,3,375.0,100,0.5274800585647199,100.0,1.0
gandk,rejection_abc,3,450.0,100,0.5274800585647199,100.0,1.0
gandk,rejection_abc,3,525.0,100,0.5274800585647199,100.0,1.0
gandk,rejection_abc,3,600.0,100,0.5274800585647199,100.0,1.0
gandk,rejection_abc,4,75.0,100,0.47013534460227113,100.0,1.0
gandk,rejection_abc,4,150.0,100,0.47013534460227113,100.0,1.0
gandk,rejection_abc,4,225.0,100,0.47013534460227113,100.0,1.0
gandk,rejection_abc,4,300.0,100,0.47013534460227113,100.0,1.0
gandk,rejection_abc,4,375.0,100,0.47013534460227113,100.0,1.0
gandk,rejection_abc,4,450.0,100,0.47013534460227113,100.0,1.0
gandk,rejection_abc,4,525.0,100,0.47013534460227113,100.0,1.0
gandk,rejection_abc,4,600.0,100,0.47013534460227113,100.0,1.0
