benchmark,method,replicate,n,eps,n_sims,wall_s,mean_sim_s
gaussian_mean,sync,4,925,0.3599797908973584,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,1097,0.2635221851054221,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,1301,0.1854957059818751,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,1543,0.1223634522191033,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,1829,0.0795277244922048,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,2169,0.0506901066446853,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,2571,0.0324617044680013,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,3049,0.020255651205575,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,3615,0.0145523146637964,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,4286,0.0089238573312977,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,5081,0.0062636580560918,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,6025,0.0053288718602255,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,7143,0.0040566459450033,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,8469,0.0031826812675886,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,10041,0.0027230051312068,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,11906,0.0022465900103857,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,14116,0.0017694661672164,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,16736,0.0013920000488586,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,19843,0.0011577321826474,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,23526,0.0010073635356948,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,27893,0.0009071697857933,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,33071,0.000731161154392,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,39210,0.0005604062832363,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,46488,0.0004440349467819,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,55117,0.0003739126499735,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,65349,0.0003177902591661,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,77479,0.0002748073125695,4612357,299.9999587535858,9.816504915079195e-05
