trial,method,benchmark,param,true_value,rank,n_samples
135,async_propulate_abc,gaussian_mean,mu,-1.5064858020808645,89,100
136,async_propulate_abc,gaussian_mean,mu,-3.046435639580689,26,100
137,async_propulate_abc,gaussian_mean,mu,-2.8066408973834447,35,100
138,async_propulate_abc,gaussian_mean,mu,-2.222564122432078,11,100
139,async_propulate_abc,gaussian_mean,mu,-2.8070239763045493,60,100
120,abc_smc_baseline,gaussian_mean,mu,-2.464657275250018,51,100
121,abc_smc_baseline,gaussian_mean,mu,-2.179907261113072,100,100
122,abc_smc_baseline,gaussian_mean,mu,1.3301311788357797,99,100
123,abc_smc_baseline,gaussian_mean,mu,4.595665411398088,78,100
124,abc_smc_baseline,gaussian_mean,mu,4.241590990718523,2,100
125,abc_smc_baseline,gaussian_mean,mu,-1.165802018513661,69,100
126,abc_smc_baseline,gaussian_mean,mu,-3.078470093446904,100,100
127,abc_smc_baseline,gaussian_mean,mu,1.6566887782861128,1,100
128,abc_smc_baseline,gaussian_mean,mu,3.347072026356308,10,100
129,abc_smc_baseline,gaussian_mean,mu,-0.0351250315996862,85,100
130,abc_smc_baseline,gaussian_mean,mu,-3.351538669914817,85,100
131,abc_smc_baseline,gaussian_mean,mu,4.944092336110696,98,100
132,abc_smc_baseline,gaussian_mean,mu,1.6203721613773148,49,100
133,abc_smc_baseline,gaussian_mean,mu,0.8846975476149659,12,100
134,abc_smc_baseline,gaussian_mean,mu,-1.8925392865392172,87,100
135,abc_smc_baseline,gaussian_mean,mu,-1.5064858020808645,98,100
136,abc_smc_baseline,gaussian_mean,mu,-3.046435639580689,11,100
137,abc_smc_baseline,gaussian_mean,mu,-2.8066408973834447,18,100
138,abc_smc_baseline,gaussian_mean,mu,-2.222564122432078,5,100
139,abc_smc_baseline,gaussian_mean,mu,-2.8070239763045493,62,100
140,async_propulate_abc,gaussian_mean,mu,-0.1134951533990813,41,100
141,async_propulate_abc,gaussian_mean,mu,1.512829081757716,28,100
142,async_propulate_abc,gaussian_mean,mu,2.126885472223787,43,100
143,async_propulate_abc,gaussian_mean,mu,2.8219421231287303,89,100
144,async_propulate_abc,gaussian_mean,mu,-0.8613428486633943,77,100
