arm,level,replicate,n,calls_per_rank_min,calls_per_rank_median,calls_per_rank_max,eps_sched,n_distinct_eps,eps_k,w1_sched,ess_sched,w1_rereport,ess_rereport,archive_w1
async_matched,0.0,2,75104,4694,4694.0,4694,0.0005008098160503,22,0.0002824561877149,0.007936742778324724,263.2555982931183,0.009176713645605074,160.01615953167882,0.014632392903344338
async_matched,0.0,3,75104,4694,4694.0,4694,0.0004185171370163,26,0.0002689515906536,0.0110095427150244,241.1143341269925,0.012178009421521384,159.3520936749097,0.012973258706231273
async_matched,0.0,4,75104,4694,4694.0,4694,0.0005315172217318,24,0.000288092712454,0.013099233474159904,281.4439592229023,0.01363859915325043,157.3713017097564,0.017021910799736792
async_matched,1.0,0,44512,2782,2782.0,2782,0.0007064506736575,35,0.0004583182828952,0.006585931466518609,226.61578483508754,0.008353777642077205,146.18600051538962,0.013373042346049104
async_matched,1.0,1,44512,2782,2782.0,2782,0.0008188510949637,19,0.0005597500708894,0.0098281347141284,277.99622254813244,0.011460624152726457,187.5213504629692,0.00916486978445918
async_matched,1.0,2,44512,2782,2782.0,2782,0.0006281995354727,24,0.0004357456551616,0.009859564148593451,243.0293652297475,0.013258015314196996,172.4773253094877,0.02799826100480475
async_matched,1.0,3,44512,2782,2782.0,2782,0.0006097959667092,21,0.0003848456368251,0.0074364624024170455,216.42059742624983,0.0077844193598159295,151.68378790868078,0.015405271785827334
async_matched,1.0,4,44512,2782,2782.0,2782,0.0008053591834656,22,0.0004774571283164,0.008987500655653064,272.13150269581524,0.00969645547073343,156.90174042809906,0.027005581726516757
async_matched,5.0,0,12304,769,769.0,769,0.0025862457541999,19,0.0015183096497831,0.009975869579204238,224.2664840149002,0.01248761468294583,135.52010339655325,0.02127218273552993
async_matched,5.0,1,12304,769,769.0,769,0.0025827678864183,18,0.0017233069475426,0.017193897235814083,246.92066808989526,0.01796052612379386,167.92115641663437,0.01836631246365578
async_matched,5.0,2,12304,769,769.0,769,0.0031115175290716,24,0.0019265647115396,0.006159575338558205,284.9555487736553,0.006863316632893487,171.5526245949322,0.01531082482945047
async_matched,5.0,3,12304,769,769.0,769,0.00247304850743,16,0.0015838091986173,0.008262324935882562,257.0536607067088,0.011119285244516084,162.49797334985186,0.020108152044072503
async_matched,5.0,4,12304,769,769.0,769,0.0035983038105955,26,0.0018766349334912,0.009770419227402714,317.40949243404026,0.018822583595136576,160.9656620191018,0.030165253269906545
async_matched,10.0,0,6304,394,394.0,394,0.0064182272514383,14,0.0035281151404861,0.0108401868655984,310.64046974170196,0.013593034396204403,162.50567439350178,0.02138203953700113
async_matched,10.0,1,6304,394,394.0,394,0.0058898916707514,15,0.0033718513101554,0.01056872030318151,252.92643621993517,0.01016813928559928,141.32959284032378,0.009969330647596395
async_matched,10.0,2,6304,394,394.0,394,0.0049740920574589,16,0.003598824480583,0.010311840255344438,222.34740771125462,0.01316777474336233,163.1115901672644,0.019343436199441594
async_matched,10.0,3,6304,394,394.0,394,0.006387088831679,13,0.0033410742574214,0.006084642500086333,269.01742401868063,0.008901835524231948,148.84422923350178,0.023272066328850656
async_matched,10.0,4,6304,394,394.0,394,0.0055788053514372,17,0.0029426217267073,0.008768606633612105,277.37833063837087,0.012036705814956847,154.9979360615964,0.02385934249459306
async_matched,20.0,0,3200,200,200.0,200,0.0193435908142129,14,0.0075035867751162,0.005322654576381694,426.2330792525847,0.011359967498870159,169.33271196812422,0.015064328701457722
async_matched,20.0,1,3200,200,200.0,200,0.2113201323386881,6,0.0066335722815036,0.09568922508407601,1420.58887292726,0.014054800091901347,164.51731809780532,0.025418110457309406
async_matched,20.0,2,3200,200,200.0,200,0.2555691902021092,6,0.0076543809134923,0.13288690575124706,1320.0027293448063,0.02303632320211943,139.4223438479991,0.020958296043299185
async_matched,20.0,3,3200,200,200.0,200,0.15625,6,0.0066644905504755,0.06045238102342984,1598.7097705421243,0.014490655837916934,145.9172842072182,0.02362546759878863
async_matched,20.0,4,3200,200,200.0,200,0.15625,6,0.0075101204274646,0.06782864712210937,1737.7589227616784,0.015945819291152165,178.05582916494131,0.019034137782315504
