method,replicate,n,eps
async,2,428,0.025569120145066
async,2,478,0.0171118183518512
async,2,533,0.0135123072798229
async,2,594,0.0104783306873542
async,2,662,0.008109808798796
async,2,739,0.0065534088334967
async,2,824,0.0051788363558873
async,2,919,0.0038801214428443
async,2,1024,0.0033107838053947
async,2,1142,0.0024179267911363
async,2,1274,0.0020368219083999
async,2,1421,0.0016004696402502
async,2,1584,0.0014526824765242
async,2,1766,0.0012499102313192
async,2,1970,0.0011059477531372
async,2,2197,0.0008376802919235
async,2,2449,0.0006881483937941
async,2,2731,0.0005579553928263
async,2,3046,0.0004769948947325
async,2,3396,0.0003718045802994
async,2,3787,0.0003247739553527
async,2,4223,0.0002739804206332
async,2,4710,0.0002198508667234
async,2,5252,0.0001875022813993
async,2,5856,0.0001617422245854
async,2,6530,0.0001340423727944
async,2,7282,0.0001243366444636
async,2,8120,0.0001165645056614
async,2,9054,0.0001026538548414
async,2,10097,9.218511120641136e-05
async,2,11259,7.845981131873873e-05
async,2,12555,6.55440182656625e-05
async,3,200,0.2075216022452587
async,3,223,0.1156357973363187
async,3,248,0.070115821467439
async,3,277,0.0480628337658229
async,3,309,0.0370910260603399
async,3,344,0.0279139397943841
async,3,384,0.0219883796152276
async,3,428,0.0178032516722407
async,3,478,0.0140537884827077
async,3,533,0.0122731414165432
async,3,594,0.0093158406868026
async,3,662,0.0078598299595409
async,3,739,0.0061079528117412
async,3,824,0.0044615450289244
async,3,919,0.0036357958927848
async,3,1024,0.0029370164999958
async,3,1142,0.002284589350551
async,3,1274,0.001831541889992
async,3,1421,0.0017479391505477
async,3,1584,0.0015202689872024
async,3,1766,0.0013138207720075
async,3,1970,0.001079805204321
async,3,2197,0.0009087573125995
async,3,2449,0.0007585974813399
async,3,2731,0.000719273759939
async,3,3046,0.0005794061256925
async,3,3396,0.000483401671282
async,3,3787,0.0003981483884514
async,3,4223,0.0003588730010488
async,3,4710,0.000332087993462
async,3,5252,0.000279987298179
async,3,5856,0.000213288883186
async,3,6530,0.0002048899993369
async,3,7282,0.0001844607825226
async,3,8120,0.0001588042004362
async,3,9054,0.0001348497406324
async,3,10097,0.0001202050692739
async,3,11259,9.539169280404767e-05
async,3,12555,8.993497273958755e-05
async,4,200,0.2516722113765852
async,4,223,0.1455302311099234
async,4,248,0.1000854320428557
async,4,277,0.0718612052826271
async,4,309,0.048224685119597
async,4,344,0.0338359105367765
async,4,384,0.0217132109675433
async,4,428,0.0196107096024165
async,4,478,0.0153138064369038
async,4,533,0.0121622519899214
async,4,594,0.0100619046431532
async,4,662,0.0081934957321459
async,4,739,0.0063704513175824
async,4,824,0.0055295932371891
async,4,919,0.0041185879444289
async,4,1024,0.0034482793315501
async,4,1142,0.00290067281986
async,4,1274,0.0025211706725352
async,4,1421,0.0019872471622042
async,4,1584,0.0015081699071783
async,4,1766,0.0012469714302351
async,4,1970,0.0010019525447924
async,4,2197,0.0007924645299738
async,4,2449,0.0006798422542903
async,4,2731,0.0006215873442177
async,4,3046,0.0005358268814043
async,4,3396,0.0004299570900889
async,4,3787,0.0003972748427872
async,4,4223,0.0003565315851406
async,4,4710,0.0003016167073354
async,4,5252,0.0002629107776124
async,4,5856,0.0002212602209833
async,4,6530,0.000195168413704
async,4,7282,0.0001639050352971
async,4,8120,0.0001477263506464
async,4,9054,0.000123750773716
async,4,10097,0.0001151494283771
async,4,11259,0.0001029673534543
async,4,12555,9.132085118194649e-05
sync,0,200,0.4623747203750489
sync,0,223,0.4206916319502797
sync,0,248,0.3629165520184773
sync,0,277,0.2967342574050388
sync,0,309,0.2129352312991065
sync,0,344,0.2028441472165566
sync,0,384,0.1488064321268568
sync,0,428,0.1240360617737479
sync,0,478,0.0915041187758248
sync,0,533,0.0491933462339696
sync,0,594,0.0333409044556511
sync,0,662,0.0238863019570966
sync,0,739,0.0193647571475918
sync,0,824,0.0153674768754585
sync,0,919,0.0127304684772846
sync,0,1024,0.0100205576522982
sync,0,1142,0.0079690755196234
sync,0,1274,0.0064096246570933
sync,0,1421,0.0052946322061274
sync,0,1584,0.0045421776289001
sync,0,1766,0.0038245538308313
sync,0,1970,0.00324377428913
sync,0,2197,0.0024342785539082
sync,0,2449,0.0016073604039559
sync,0,2731,0.0013184655559974
sync,0,3046,0.0011460958520329
sync,0,3396,0.0009171980766693
sync,0,3787,0.000658580030546
sync,0,4223,0.0004903622271672
sync,0,4710,0.0004204249314297
sync,1,200,0.504920383221729
sync,1,223,0.3994755599757084
sync,1,248,0.353910788893071
sync,1,277,0.2944684467082483
sync,1,309,0.2411540138437975
sync,1,344,0.1947765613381575
sync,1,384,0.1603324685799582
sync,1,428,0.1328936201501073
sync,1,478,0.1014110460339435
sync,1,533,0.0594178385836347
sync,1,594,0.038319991794375
sync,1,662,0.0259692194538893
sync,1,739,0.0222422607429425
sync,1,824,0.0189806418486902
